date,T,P0,U,Ff
2020-05-31,31,754,70,3
2020-05-30,31,754,71,3
2020-05-29,30,754,73,4
2020-05-28,28,756,73,2
2020-05-27,26,757,80,3
2020-05-26,28,755,71,4
2020-05-25,31,753,73,3
2020-05-24,29,754,77,3
2020-05-23,28,754,81,2
2020-05-22,31,751,69,4
2020-05-21,34,749,62,2
2020-05-20,32,750,69,3
2020-05-19,29,751,79,3
2020-05-18,29,751,74,3
2020-05-17,29,752,75,4
2020-05-16,28,752,79,4
2020-05-15,29,752,77,4
2020-05-14,28,754,73,4
2020-05-13,27,756,80,4
2020-05-12,28,757,77,3
2020-05-11,29,755,79,4
2020-05-10,30,754,73,3
2020-05-09,28,754,80,3
2020-05-08,29,752,81,4
2020-05-07,29,752,83,4
2020-05-06,28,753,80,4
2020-05-05,29,754,79,4
2020-05-04,29,755,77,4
2020-05-03,28,755,79,3
2020-05-02,27,755,76,3
2020-05-01,24,757,87,3
2020-04-30,25,759,75,3
2020-04-29,25,760,68,3
2020-04-28,25,761,62,2
2020-04-27,23,763,69,3
2020-04-26,20,764,81,3
2020-04-25,19,764,80,2
2020-04-24,17,764,85,3
2020-04-23,21,761,82,5
2020-04-22,24,757,87,4
2020-04-21,27,756,83,4
2020-04-20,27,756,82,4
2020-04-19,26,756,86,4
2020-04-18,26,757,79,4
2020-04-17,24,758,89,4
2020-04-16,23,757,85,3
2020-04-15,22,760,72,3
2020-04-14,19,762,70,2
2020-04-13,17,765,81,2
2020-04-12,20,763,80,4
2020-04-11,25,759,82,2
2020-04-10,24,760,78,3
2020-04-09,23,761,78,2
2020-04-08,20,761,84,2
2020-04-07,20,761,78,2
2020-04-06,17,761,85,2
2020-04-05,18,763,74,4
2020-04-04,19,761,84,5
2020-04-03,21,759,94,3
2020-04-02,20,758,92,2
2020-04-01,19,759,81,3
2020-03-31,18,758,84,4
2020-03-30,20,756,88,5
2020-03-29,25,755,86,4
2020-03-28,26,756,81,4
2020-03-27,27,756,80,4
2020-03-26,26,756,79,5
2020-03-25,25,757,81,4
2020-03-24,25,758,78,4
2020-03-23,24,758,87,3
2020-03-22,25,758,85,3
2020-03-21,24,758,83,3
2020-03-20,22,759,79,2
2020-03-19,19,759,85,2
2020-03-18,19,759,92,4
2020-03-17,22,760,94,3
2020-03-16,20,760,93,2
2020-03-15,20,762,78,2
2020-03-14,22,761,77,3
2020-03-13,25,758,85,2
2020-03-12,22,758,85,2
2020-03-11,22,760,69,3
2020-03-10,24,758,66,4
2020-03-09,27,752,72,2
2020-03-08,24,753,82,3
2020-03-07,22,757,84,2
2020-03-06,19,760,82,2
2020-03-05,17,763,83,3
2020-03-04,19,761,86,4
2020-03-03,23,759,88,4
2020-03-02,24,759,82,4
2020-03-01,24,758,81,4
2020-02-29,24,759,77,4
2020-02-28,24,760,72,4
2020-02-27,24,761,70,3
2020-02-26,22,762,78,3
2020-02-25,22,761,80,3
2020-02-24,22,763,78,3
2020-02-23,21,766,78,2
2020-02-22,20,768,85,2
2020-02-21,19,768,86,3
2020-02-20,18,765,85,2
2020-02-19,18,766,63,2
2020-02-18,18,768,45,3
2020-02-17,18,769,47,3
2020-02-16,19,765,50,5
2020-02-15,25,756,85,3
2020-02-14,23,755,90,4
2020-02-13,21,757,94,2
2020-02-12,20,760,89,2
2020-02-11,19,762,85,2
2020-02-10,16,765,77,2
2020-02-09,15,768,81,4
2020-02-08,18,765,86,4
2020-02-07,19,763,92,2
2020-02-06,17,761,91,2
2020-02-05,14,763,93,3
2020-02-04,14,763,90,4
2020-02-03,17,762,92,3
2020-02-02,18,763,87,1
2020-02-01,16,763,82,2
2020-01-31,17,764,65,3
2020-01-30,15,765,63,2
2020-01-29,15,766,63,3
2020-01-28,15,763,61,3
2020-01-27,15,762,62,3
2020-01-26,16,762,62,4
2020-01-25,17,759,86,5
2020-01-24,22,759,91,4
2020-01-23,23,759,82,4
2020-01-22,21,761,87,3
2020-01-21,18,763,89,2
2020-01-20,14,764,90,2
2020-01-19,15,764,80,4
2020-01-18,15,762,92,3
2020-01-17,16,763,77,5
2020-01-16,23,760,78,4
2020-01-15,23,759,80,5
2020-01-14,19,760,87,2
2020-01-13,16,761,87,2
2020-01-12,16,762,68,3
2020-01-11,21,759,79,4
2020-01-10,24,759,74,4
2020-01-09,24,760,76,3
2020-01-08,23,761,76,4
2020-01-07,22,761,87,2
2020-01-06,23,761,80,4
2020-01-05,21,762,87,3
2020-01-04,21,763,86,3
2020-01-03,23,764,77,4
2020-01-02,22,766,81,2
2020-01-01,21,767,77,2
2019-12-31,21,766,78,2
2019-12-30,20,764,79,2
2019-12-29,19,762,76,2
2019-12-28,17,764,67,2
2019-12-27,17,765,63,3
2019-12-26,21,761,78,4
2019-12-25,24,758,77,4
2019-12-24,21,760,87,2
2019-12-23,18,759,94,2
2019-12-22,16,761,92,3
2019-12-21,16,761,94,3
2019-12-20,16,762,80,4
2019-12-19,22,762,78,4
2019-12-18,24,761,79,4
2019-12-17,23,761,82,3
2019-12-16,23,761,79,3
2019-12-15,22,762,79,3
2019-12-14,20,764,81,2
2019-12-13,19,764,73,2
2019-12-12,17,763,65,2
2019-12-11,16,763,64,2
2019-12-10,15,763,60,2
2019-12-09,16,765,55,2
2019-12-08,15,768,53,2
2019-12-07,15,769,54,2
2019-12-06,17,770,40,3
2019-12-05,19,768,40,4
2019-12-04,18,767,48,3
2019-12-03,18,767,49,3
2019-12-02,18,767,51,4
2019-12-01,21,763,72,5
2019-11-30,22,762,77,2
2019-11-29,20,764,64,3
2019-11-28,20,765,66,4
2019-11-27,24,763,74,2
2019-11-26,22,763,71,3
2019-11-25,24,763,70,2
2019-11-24,24,761,78,3
2019-11-23,24,760,77,3
2019-11-22,23,761,72,3
2019-11-21,21,763,77,2
2019-11-20,21,763,71,2
2019-11-19,19,764,70,3
2019-11-18,25,761,76,4
2019-11-17,26,757,80,4
2019-11-16,25,758,78,5
2019-11-15,23,760,74,3
2019-11-14,22,764,75,3
2019-11-13,24,762,87,3
2019-11-12,23,759,74,2
2019-11-11,23,759,72,2
2019-11-10,22,761,71,2
2019-11-09,22,762,68,2
2019-11-08,23,763,62,3
2019-11-07,25,760,66,3
2019-11-06,23,758,70,2
2019-11-05,23,759,61,2
2019-11-04,25,761,69,3
2019-11-03,24,760,85,3
2019-11-02,22,760,91,4
2019-11-01,19,761,95,3
2019-10-31,22,761,64,2
2019-10-30,22,762,65,2
2019-10-29,23,762,66,2
2019-10-28,22,761,89,4
2019-10-27,26,759,81,3
2019-10-26,26,761,82,2
2019-10-25,24,761,83,2
2019-10-24,23,759,84,4
2019-10-23,28,755,78,4
2019-10-22,28,756,76,4
2019-10-21,27,758,80,3
2019-10-20,26,761,73,2
2019-10-19,25,762,70,2
2019-10-18,24,763,75,4
2019-10-17,26,761,82,2
2019-10-16,26,762,77,2
2019-10-15,26,763,74,3
2019-10-14,27,762,75,3
2019-10-13,27,759,79,3
2019-10-12,28,757,80,3
2019-10-11,28,757,76,4
2019-10-10,27,758,80,3
2019-10-09,25,759,90,2
2019-10-08,26,760,87,2
2019-10-07,27,759,78,2
2019-10-06,28,759,72,2
2019-10-05,27,758,79,2
2019-10-04,26,757,89,2
2019-10-03,25,757,87,3
2019-10-02,28,757,77,3
2019-10-01,28,756,68,3
2019-09-30,28,757,66,2
2019-09-29,28,759,66,2
2019-09-28,27,761,66,2
2019-09-27,27,762,65,2
2019-09-26,27,762,67,2
2019-09-25,27,762,67,2
2019-09-24,27,762,62,2
2019-09-23,27,762,62,2
2019-09-22,28,760,52,3
2019-09-21,28,758,64,3
2019-09-20,28,757,80,2
2019-09-19,26,758,92,2
2019-09-18,28,757,83,2
2019-09-17,30,756,75,2
2019-09-16,30,755,74,2
2019-09-15,30,755,73,2
2019-09-14,30,755,71,2
2019-09-13,30,755,75,2
2019-09-12,29,757,81,2
2019-09-11,27,757,89,3
2019-09-10,26,753,91,4
2019-09-09,29,750,84,3
2019-09-08,31,751,78,4
2019-09-07,31,751,72,3
2019-09-06,31,751,70,2
2019-09-05,31,751,72,3
2019-09-04,30,752,71,2
2019-09-03,30,753,69,3
2019-09-02,29,754,75,3
2019-09-01,27,754,85,3
